Zenith Angle (degrees),Transmission at 810 nm
51.800000000000004,0.27405834
51.900000000000006,0.2733196
52.0,0.27252936
52.1,0.27178055
52.2,0.27096698
52.300000000000004,0.2701699
52.400000000000006,0.26938406
52.5,0.26849502
52.6,0.26768878
52.7,0.26704252
52.800000000000004,0.26623136
52.900000000000006,0.2654284
53.0,0.26466325
53.1,0.2637138
53.2,0.26285982
53.300000000000004,0.26210132
53.400000000000006,0.26123905
53.5,0.26038596
53.6,0.25960207
53.7,0.25885433
53.800000000000004,0.2579302
53.900000000000006,0.25717354
54.0,0.25641018
54.1,0.25546688
54.2,0.25471973
54.300000000000004,0.25379553
54.400000000000006,0.25292966
54.5,0.2521889
54.6,0.25120062
54.7,0.25045082
54.800000000000004,0.24959913
54.900000000000006,0.24874258
55.0,0.2478926
55.1,0.24701843
55.2,0.24612018
55.300000000000004,0.24536493
55.400000000000006,0.2443973
55.5,0.24360242
55.6,0.2427885
55.7,0.2418498
55.800000000000004,0.2410164
55.900000000000006,0.24003354
56.0,0.23922691
56.1,0.23826037
56.2,0.23744805
56.300000000000004,0.23651373
56.400000000000006,0.2356409
56.5,0.23484069
56.6,0.23387775
56.7,0.23304561
56.800000000000004,0.23207244
56.900000000000006,0.23118673
57.0,0.23032926
57.1,0.22944811
57.2,0.22847028
57.300000000000004,0.22761044
57.400000000000006,0.226674
57.5,0.22581701
57.6,0.2247934
57.7,0.22394736
57.800000000000004,0.22293358
57.900000000000006,0.22192355
58.0,0.22115539
58.1,0.22021788
58.2,0.21924524
58.300000000000004,0.21841878
58.400000000000006,0.21744065
58.5,0.21641222
58.6,0.21562925
58.7,0.21461108
58.800000000000004,0.213651
58.900000000000006,0.21274608
59.0,0.21180736
59.1,0.21074806
59.2,0.2098316
59.300000000000004,0.20884642
59.400000000000006,0.2079658
59.5,0.20697437
59.6,0.20610085
59.7,0.20517626
59.800000000000004,0.20411327
59.900000000000006,0.20310153
60.0,0.20231363
