Zenith Angle (degrees),Transmission at 810 nm
30.8,0.67828214
30.900000000000002,0.67805976
31.0,0.67781067
31.1,0.6774027
31.200000000000003,0.6771834
31.3,0.676931
31.400000000000002,0.6766519
31.5,0.67632186
31.6,0.6761778
31.700000000000003,0.6758218
31.8,0.67557
31.900000000000002,0.67528886
32.0,0.67495465
32.1,0.67471194
32.2,0.6743487
32.300000000000004,0.67411816
32.4,0.6738443
32.5,0.6735387
32.6,0.6731507
32.7,0.67292356
32.800000000000004,0.6726715
32.9,0.6723888
33.0,0.672104
33.1,0.6717457
33.2,0.67151725
33.300000000000004,0.6712065
33.4,0.67084855
33.5,0.67059094
33.6,0.6702824
33.7,0.6699706
33.800000000000004,0.66971654
33.9,0.6693242
34.0,0.66909397
34.1,0.6686527
34.2,0.66836596
34.300000000000004,0.6680801
34.4,0.66774535
34.5,0.6675103
34.6,0.6670671
34.7,0.66683626
34.800000000000004,0.66649944
34.9,0.6661822
35.0,0.665847
35.1,0.66550565
35.2,0.66519046
35.300000000000004,0.66487914
35.4,0.6645398
35.5,0.66416985
35.6,0.6638308
35.7,0.6634873
35.800000000000004,0.6631216
35.9,0.66293836
36.0,0.66251355
36.1,0.6621956
36.2,0.6618584
36.300000000000004,0.66146266
36.4,0.6611451
36.5,0.6608277
36.6,0.66045576
36.7,0.6600646
36.800000000000004,0.6597425
36.9,0.65934527
37.0,0.6590543
37.1,0.6587379
37.2,0.6583386
37.300000000000004,0.6580456
37.4,0.65756804
37.5,0.65724975
37.6,0.6569055
37.7,0.65647894
37.800000000000004,0.65615696
37.9,0.6558118
38.0,0.65549153
38.1,0.6550138
38.2,0.65471447
38.300000000000004,0.6542873
38.400000000000006,0.65388995
38.5,0.65354145
38.6,0.6531673
38.7,0.65276814
38.800000000000004,0.6523397
38.900000000000006,0.65201277
39.0,0.6515099
39.1,0.6512345
39.2,0.65086144
39.300000000000004,0.65045977
39.400000000000006,0.6500303
39.5,0.6496289
39.6,0.6492492
39.7,0.64892715
39.800000000000004,0.648393
